,Unnamed: 0,basic_date,stockname,close_value,volume_value,diff_value,diff_value_rate,ma3_value,ma3_rate,cv3d_diff_rate,vv_diff_value,vv_ma3_value,vv_ma3_rate,ud_3d,predicted
141,141,20170811,에듀파트너,1610,601,-275.0,-14.5889,1903.333333333333,-37.88071065989847,-36.79458239277653,101.0,500.33333333333326,63.8181818181818,-1,Learning Data
142,142,20170814,에듀파트너,1400,701,-210.0,-13.0435,1631.666666666667,-34.82475764354959,-27.851458885941643,100.0,600.6666666666666,54.07692307692307,-1,Learning Data
143,143,20170816,에듀파트너,1360,701,-40.0,-2.8571,1456.666666666667,-28.458844133099817,-17.701863354037272,0.0,667.6666666666666,46.76882078614258,-1,Learning Data
144,144,20170817,에듀파트너,1325,801,-35.0,-2.5735,1361.6666666666667,-22.06332992849847,-19.285714285714292,100.0,734.3333333333335,-16.59267480577136,-1,Learning Data
145,145,20170818,에듀파트너,1130,1,-195.0,-14.717,1271.6666666666667,-17.276887871853553,-14.705882352941178,-800.0,501.0,-15.027458811782315,0,Learning Data
146,146,20170821,에듀파트너,1160,900,30.0,2.6549,1205.0,-14.810281517747862,-10.18867924528302,899.0,567.3333333333334,-18.247843849296405,0,Learning Data
147,147,20170822,에듀파트너,1190,900,30.0,2.5862,1160.0,-6.422018348623859,7.9646017699115035,0.0,600.3333333333334,79.64071856287423,1,Learning Data
148,148,20170823,에듀파트너,1220,900,30.0,2.521,1190.0,0.5532503457814724,5.603448275862068,0.0,900.0,52.820211515863676,1,Learning Data
149,149,20170824,에듀파트너,1225,801,5.0,0.4098,1211.6666666666667,4.741379310344827,0.8403361344537815,-99.0,867.0,38.92282065519154,0,Learning Data
150,150,20170825,에듀파트너,1200,801,-25.0,-2.0408,1215.0,1.820728291316533,-0.819672131147541,0.0,834.0,69.74074074074075,0,Learning Data
151,151,20170828,에듀파트너,1210,2981,10.0,0.8333,1211.6666666666667,0.4126547455295736,1.2244897959183674,2180.0,1527.666666666667,80.0076893502499,0,Learning Data
152,152,20170829,에듀파트너,1240,900,30.0,2.4793,1216.6666666666667,2.05761316872428,5.833333333333332,-2081.0,1560.666666666667,87.09032773780973,1,Learning Data
153,153,20170830,에듀파트너,1270,800,30.0,2.4194,1240.0,9.215955983493796,20.66115702479339,-100.0,1560.333333333333,-45.45057822387083,1,Learning Data
154,154,20170831,에듀파트너,1460,800,190.0,14.9606,1323.3333333333333,16.027397260273972,21.370967741935484,0.0,833.3333333333335,-50.83297736010252,1,Learning Data
155,155,20170901,에듀파트너,1505,702,45.0,3.0822,1411.666666666667,18.951612903225808,14.960629921259846,-98.0,767.3333333333335,-67.84875026703695,0,Learning Data
156,156,20170904,에듀파트너,1460,3,-45.0,-2.99,1475.0,10.579345088161212,-2.3972602739726026,-699.0,501.66666666666674,-43.76,0,Learning Data
157,157,20170905,에듀파트너,1425,701,-35.0,-2.3973,1463.333333333333,-3.0696576151121717,-18.93687707641196,698.0,468.66666666666674,-8.557775847089497,-1,Learning Data
158,158,20170906,에듀파트너,1220,1401,-205.0,-14.386,1368.3333333333333,-8.587570621468931,-4.10958904109589,700.0,701.6666666666665,92.82392026578071,0,Learning Data
159,159,20170907,에듀파트너,1400,800,180.0,14.7541,1348.3333333333333,-9.453302961275623,-4.912280701754386,-601.0,967.3333333333335,127.73826458036982,0,Learning Data
160,160,20170908,에듀파트너,1355,1001,-45.0,-3.2143,1325.0,1.46163215590743,15.573770491803279,201.0,1067.3333333333333,23.56294536817103,0,Learning Data
161,161,20170911,에듀파트너,1410,800,55.0,4.059,1388.333333333333,7.787391841779975,13.928571428571427,-201.0,867.0,-34.45899379738112,0,0
162,162,20170912,에듀파트너,1595,101,185.0,13.1206,1453.333333333333,20.62893081761006,32.10332103321033,-699.0,634.0,-71.83010618363521,1,0
163,163,20170913,에듀파트너,1790,1,195.0,12.2257,1598.333333333333,25.33013205282113,30.141843971631204,-100.0,300.6666666666667,-72.97193387158784,1,0
164,164,20170914,에듀파트너,1835,601,45.0,2.5140000000000002,1740.0,18.92201834862385,-2.19435736677116,600.0,234.33333333333331,-68.19137749737119,0,0
